Round ,Competitor_Red,Competitor_White,Point_awarded_to,Target,Point_order ,Waza_1,Waza_2,Encho,Flag raised
1,Hiroaki Kato ,Takehiro Tamada,White,Men,1,Debana,,N,3
1,Hiroaki Kato ,Takehiro Tamada,White,Men,2,Debana,,N,2
1,Takaya Uemura,Ryujiro Kusano,White,Men,1,Debana,Katate,Y,3
1,Sho Ando ,Keisaku Nakamura,Red,Men,1,Debana,,N,3
1,Sho Ando ,Keisaku Nakamura,Red,Men,2,Debana,Nidan,N,3
1,Kazuya Kawaki,Hiroharu Kamosaki,White,Kote,1,Debana,,Y,3
1,Yoshihisa Fukui,Daiki Matsuo,Red,Men,1,Misete,Kote,N,3
1,Yoshihisa Fukui,Daiki Matsuo,White,Men,2,Ouji,,N,3
1,Yoshihisa Fukui,Daiki Matsuo,White,Men,3,Hiki,,Y,3
1,Kyohei Hayashida,Fumio Kenjo,Red,Men,1,Misete,Men,N,3
1,Kyohei Hayashida,Fumio Kenjo,Red,Men,2,Tobikomi,,N,3
1,Shohei Otani,Satoru Maeda,Red,Kote,1,Tobikomi,,N,3
1,Shohei Otani,Satoru Maeda,White,Men,2,Nidan,Kote,N,3
1,Shohei Otani,Satoru Maeda,Red,Men,3,Nuki,Kote,N,3
1,Takahiro Uezu,Shinichiro Urakawa,White,Kote,1,Debana,,N,3
1,Takahiro Uezu,Shinichiro Urakawa,White,Men,2,Ouji,,N,2
1,Yoshimasa Yamana,Rentaro Kunitomo,White,Kote,1,Debana,,Y,2
1,Kazuaki Matsumoto,Daiki Yamamoto,Red,Men,1,Debana,,Y,3
1,Ryo Goya,Takuro Okada,Red,Men,1,Hiki,,Y,3
1,Tomohiro Ito,Yuma Iwakiri,Red,Kote,1,Harai,,Y,3
1,Taishi Sugimoto,Shuto Izawa,White,Kote,1,Debana,,N,3
1,Shin Yoshida,Takayuki Yano,White,Kote,1,Misete,Men,N,3
1,Shin Yoshida,Takayuki Yano,White,Kote,2,Hiki,,N,3
1,Kenshiro Matsuzaki,Taisei Kato,Red,Men,1,Nidan,,Y,3
1,Yoshiki Nakada,Tomoki Kosumi,White,Men,1,Tobikomi,,N,3
